Node ID,Total de Alarmes,Total de Correlações,Total de Incidentes,Média de Alarmes por Incidente,Densidade
c60cc1af-aa30-491a-a3ef-55c6f8e4d8cd,399,417,130,3.0692307692307694,0.005251823024898931
f3ba8721-2bb0-46b3-b4dd-c9255bb7a3ad,237,12358,18,13.166666666666666,0.4418937280984052
4c43b243-0774-4296-8f18-85c699019829,57,4,4,14.25,0.002506265664160401
4a278aa6-9cfe-4d85-ae05-9843e5f4760b,60,4,4,15.0,0.0022598870056497176
f02a8eab-0a93-4f87-90f9-3eb96aa9e1aa,60,4,4,15.0,0.0022598870056497176
3a15506c-b858-4cd5-8bba-8fafdcaadf29,60,4,4,15.0,0.0022598870056497176
272aa09e-31a7-4770-b7a5-4c0bb7c65050,35,269,3,11.666666666666666,0.45210084033613446
dbd911a1-e252-4af0-8765-8b0633485512,62,632,3,20.666666666666668,0.33421470121628766
1deffe2a-7ee9-4455-aac1-88bcd6deb315,27,301,2,13.5,0.8575498575498576
25009817-d656-455d-9a06-3c899ac76e2a,5,4,2,2.5,0.4
c75a16f2-4296-4a47-abaf-1ba3ff462ece,27,301,2,13.5,0.8575498575498576
b02114b7-a0eb-49db-9c80-04496d65e01c,27,301,2,13.5,0.8575498575498576
31b566a5-f6e5-471c-9855-cf8da5dbd373,6,7,2,3.0,0.4666666666666667
22266928-4844-41ef-899e-cd3e72d253eb,6,7,2,3.0,0.4666666666666667
9cfbb799-8b99-4c9f-9d16-e7a37a409c3d,27,301,2,13.5,0.8575498575498576
f35980c0-a369-4616-9765-ab439ecd5a06,13,39,2,6.5,0.5
04004518-b50f-451c-bbfa-bb35d3ab7388,22,111,2,11.0,0.4805194805194805
2f3338d8-06c8-464b-a28b-ba626cd55426,27,301,2,13.5,0.8575498575498576
2570f2e3-0874-4ba4-b0b7-80904f41569d,27,301,2,13.5,0.8575498575498576
777aa436-502b-4ba1-be8a-a74bf37c2f21,6,7,2,3.0,0.4666666666666667
1dde704d-60f6-43da-bbde-93046e20fb15,19,123,2,9.5,0.7192982456140351
299ebc72-b1ee-4f4f-be07-d65ef1b80315,7,11,2,3.5,0.5238095238095238
00ee2acf-31c5-4119-9f46-32748ebd3bd5,6,7,2,3.0,0.4666666666666667
300f6318-80b3-4e47-b57b-8547e3772370,12,37,2,6.0,0.5606060606060606
01f2097e-b3a5-441c-92b4-f3b84b74fbd2,6,6,2,3.0,0.4
f84e6cd1-1d84-4a4e-8869-9cd03133b3b7,6,7,2,3.0,0.4666666666666667
0ecbe4f8-9546-4646-b40b-4514a27458ce,28,303,2,14.0,0.8015873015873016
8d577296-c44f-498c-9638-ae5927983d07,8,10,2,4.0,0.35714285714285715
7a7b939c-f871-4ce7-8a25-f3879d0b32f9,36,630,1,36.0,1.0
aa991e50-ce0c-49c9-b357-947a4e420d6a,3,1,1,3.0,0.3333333333333333
bd6f0ddf-8e8b-48d5-86d1-ddbd758e9089,7,21,1,7.0,1.0
3b3f4980-647b-4143-8495-121bdd2ca639,2,1,1,2.0,1.0
d291549f-6f67-4bad-9c6d-0a5acab7498e,4,6,1,4.0,1.0
2a7d539d-40e9-44de-a221-7a51177dc8d7,2,1,1,2.0,1.0
8e008d34-0a2b-49f9-bee9-b1041e3f24fb,2,1,1,2.0,1.0
16bce257-1baf-4e75-8ac6-05ec2f41c915,2,1,1,2.0,1.0
2f218a1c-ae63-47b6-baac-90ad34b50bc1,2,1,1,2.0,1.0
