Node ID,Total de Alarmes,Total de Correlações,Total de Incidentes,Média de Alarmes por Incidente,Densidade
a5126d4f-0bd1-4023-ae9d-d2c1e903e0ae,232712,8584164,4090,56.89779951100245,0.00031702412373902137
7510d37a-4c5f-40da-b987-3977c2791c21,32148,119403,4073,7.892953596857353,0.0002310738627854943
8bf0d4d2-1cd3-4341-9b79-794833028b3d,31766,116570,4065,7.814514145141452,0.00023104969571337804
e4efe34f-1d6d-4fd2-ad89-6e6b8e239d81,32023,119030,4054,7.899111988159842,0.0002321538876288548
75577cb5-6565-42da-a042-d9603e854ad0,27157,83723,4041,6.720366245978719,0.00022705296896835726
d90ba2a5-2d05-419e-b07d-e04aabe6ba14,33049,131952,4041,8.178421182875526,0.00024162533425368943
3d8d5c49-6741-49bc-84da-786deb9bb25f,26694,79522,4035,6.615613382899628,0.00022320619660281472
0735063a-6a73-4b88-9c87-36c374be58e2,31992,118391,4031,7.936492185561895,0.00023135531311792345
1fe540d0-3229-475c-9adc-ee37bab1a4e2,31558,115909,4027,7.836602930221008,0.0002327780217205116
b8d9be31-b868-4425-88b4-948d4c87fbd1,26967,81888,4025,6.699875776397516,0.00022521696130255932
959d6939-6e86-4031-afff-059842f6cf8d,26676,79660,4012,6.649052841475573,0.000223895394812378
15c46c64-33e5-485a-9283-fdbc20ca7524,31899,118504,3999,7.976744186046512,0.0002329284212852273
61c59649-570a-4fd5-9aa6-ed531af05b93,28445,93562,3997,7.116587440580435,0.00023127723385091674
d76c8907-3410-463c-b838-bcb8293d9b5c,27414,85035,3991,6.868955149085442,0.00022630739065007723
db171d93-ca40-4cdb-9cee-d251af937b90,26870,81304,3986,6.741093828399398,0.00022522818571845703
12c83b56-fcf7-4497-bfcc-6f3601e1db02,27040,82655,3977,6.799094795071662,0.00022610065102106512
ac103959-f0ae-401e-82a8-fe7e4ee29335,29175,100268,3977,7.335931606738748,0.00023560554352577322
50e91219-3c5e-420d-9c21-0c80cde21cc9,23417,60604,3967,5.902949331988909,0.00022104837154346023
5975a69d-7367-436d-a04e-05cf51ed53f3,23141,59057,3967,5.833375346609529,0.00022057480321401209
3859271b-d553-45d3-91d5-aa5fe1aee85a,31421,130479,3965,7.924590163934426,0.00026432876802908513
1eea20bb-7373-4a9a-a3c7-96bb30bbcedf,26958,82442,3949,6.826538364142821,0.0002268920541801008
197f2efe-229e-4aa3-aa6d-97c3b7084146,23249,59939,3945,5.893282636248416,0.00022179390853330075
70a8f814-160d-440e-955c-8bfae05b2dae,32025,120793,3920,8.169642857142858,0.00023556298428013494
